epoch,train_mean_pnl,train_std_pnl,train_objective,train_cap_penalty,avg_ratio,avg_abs_shares,cap_hit_rate,val_mean_pnl,val_std_pnl,val_objective,val_cap_penalty
1,-9.256738662719727,196.4453582763672,-107.47941589355469,0.004547976888716221,0.5869821906089783,12.4196138381958,0.0,30.141496658325195,162.93064880371094,-51.323829650878906,0.004851523321121931
10,-7.132997512817383,196.37429809570312,-105.32014465332031,0.005113537888973951,0.5909789204597473,12.474291801452637,0.0,30.75457763671875,162.78570556640625,-50.638275146484375,0.004927195142954588
20,-4.272242546081543,198.85369873046875,-103.69908905029297,0.00485610356554389,0.5208532810211182,11.645197868347168,0.0,31.387948989868164,163.93399047851562,-50.57904815673828,0.004788695834577084
30,-2.592776298522949,200.7369384765625,-102.96124267578125,0.004337870050221682,0.4966512620449066,10.998653411865234,0.0,31.31574249267578,165.49729919433594,-51.43290710449219,0.004024496302008629
40,-1.2121567726135254,201.16567993164062,-101.79499816894531,0.004668388050049543,0.5341424345970154,10.881793022155762,0.0,31.585914611816406,165.78466796875,-51.306419372558594,0.004240461625158787
50,-0.24501897394657135,201.91183471679688,-101.20093536376953,0.004838373512029648,0.5688257217407227,10.758783340454102,0.0,32.5472297668457,165.8287811279297,-50.36716079711914,0.00452031847089529
60,-0.44517287611961365,200.22161865234375,-100.55598449707031,0.004704855848103762,0.5998881459236145,10.595948219299316,0.0,32.76027297973633,166.4824676513672,-50.480960845947266,0.004369047004729509
70,-0.1097138524055481,200.06552124023438,-100.14247131347656,0.004628812428563833,0.5673031210899353,10.306649208068848,0.0,33.41168975830078,167.02491760253906,-50.10076904296875,0.004500655923038721
80,0.22512711584568024,200.31900024414062,-99.93437194824219,0.004596429411321878,0.5538095831871033,10.009114265441895,0.0,33.1417350769043,169.22909545898438,-51.47281265258789,0.004500161856412888
90,0.34165164828300476,200.31777954101562,-99.8172378540039,0.004794909153133631,0.5889535546302795,10.14849853515625,0.0,33.70881652832031,168.02700805664062,-50.3046875,0.0046513802371919155
100,0.32165035605430603,200.13868713378906,-99.74769592285156,0.004831151105463505,0.6096078753471375,10.177680015563965,0.0,33.87009048461914,168.02420043945312,-50.14200973510742,0.0046500563621521
110,0.5108284950256348,200.39999389648438,-99.68917083740234,0.004789839964359999,0.6045581102371216,9.985530853271484,0.0,32.78400421142578,170.63333129882812,-52.53266143798828,0.004629859235137701
120,0.4458688199520111,200.2100830078125,-99.65917205810547,0.004897919949144125,0.6328203678131104,10.085527420043945,0.0,32.441551208496094,170.1067352294922,-52.61181640625,0.004766935482621193
130,0.48046594858169556,200.19406127929688,-99.61656188964844,0.0048500169068574905,0.6276458501815796,10.112905502319336,0.0,32.55867004394531,170.2214813232422,-52.55207061767578,0.0048784599639475346
