epoch,train_mean_pnl,train_std_pnl,train_objective,avg_ratio,avg_abs_shares,val_mean_pnl,val_std_pnl,val_objective
1,30.44663429260254,178.21351623535156,-58.660125732421875,0.6086534261703491,21.86593246459961,33.936866760253906,165.38941955566406,-48.757843017578125
10,32.62358474731445,119.97482299804688,-27.363826751708984,0.932454526424408,35.66362762451172,22.201778411865234,111.00484466552734,-33.30064392089844
20,45.139442443847656,122.6564712524414,-16.188793182373047,0.9840591549873352,37.47938537597656,17.34661865234375,111.77599334716797,-38.541378021240234
30,62.70320510864258,136.1182403564453,-5.355915069580078,0.919144332408905,33.83563232421875,20.50147819519043,117.06636810302734,-38.031707763671875
40,75.56092834472656,146.82846069335938,2.146697998046875,0.9126567244529724,32.02045822143555,18.933774948120117,124.7889404296875,-43.460693359375
50,81.08840942382812,147.20973205566406,7.483543395996094,0.9215198159217834,32.20297622680664,16.4184627532959,128.87416076660156,-48.01861572265625
60,86.02328491210938,150.32266235351562,10.861953735351562,0.9095016717910767,31.763046264648438,15.394821166992188,137.16636657714844,-53.18836212158203
70,87.10053253173828,149.8392791748047,12.180892944335938,0.9170680642127991,31.96710968017578,13.962721824645996,139.71920776367188,-55.896881103515625
80,87.18912506103516,149.4705047607422,12.453872680664062,0.8982322216033936,31.863218307495117,14.138314247131348,140.1705322265625,-55.94695281982422
90,87.69973754882812,150.32505798339844,12.537208557128906,0.8963819146156311,31.877052307128906,14.298583984375,140.44224548339844,-55.92253875732422
100,87.52542114257812,149.88632202148438,12.582260131835938,0.9042321443557739,31.950342178344727,14.281927108764648,140.61175537109375,-56.023948669433594
110,88.0048828125,150.74749755859375,12.631134033203125,0.9048337936401367,31.94633674621582,14.316058158874512,140.56398010253906,-55.9659309387207
120,87.974365234375,150.3523406982422,12.798194885253906,0.913957953453064,31.977699279785156,13.89208698272705,140.00209045410156,-56.10895919799805
130,87.65644836425781,149.60647583007812,12.85321044921875,0.9098237156867981,32.03070831298828,14.153761863708496,139.18800354003906,-55.44023895263672
140,88.1213607788086,150.393798828125,12.924461364746094,0.8960601687431335,31.9139404296875,15.306207656860352,136.0215606689453,-52.70457458496094
150,89.77482604980469,152.8682403564453,13.340705871582031,0.939250648021698,32.669307708740234,12.5516939163208,132.7073211669922,-53.80196762084961
160,88.1052017211914,149.0106201171875,13.599891662597656,0.9283981919288635,32.62809371948242,13.509112358093262,133.27915954589844,-53.13046646118164
170,90.21427917480469,151.25601196289062,14.586273193359375,0.9238879084587097,32.15227127075195,13.193808555603027,133.78427124023438,-53.698326110839844
180,89.3131103515625,149.24951171875,14.6883544921875,0.9405250549316406,32.60417175292969,12.123882293701172,132.50518798828125,-54.12871170043945
190,89.78620910644531,150.09580993652344,14.738304138183594,0.9344669580459595,32.56638717651367,12.353066444396973,132.6612091064453,-53.9775390625
200,89.7536392211914,149.9905242919922,14.758377075195312,0.9321337938308716,32.56770706176758,12.612728118896484,132.95021057128906,-53.86237716674805
210,89.60689544677734,149.70352172851562,14.755134582519531,0.9351171851158142,32.59239196777344,12.531591415405273,132.97471618652344,-53.95576477050781
220,90.11870574951172,150.72030639648438,14.758552551269531,0.9352816343307495,32.555423736572266,12.606012344360352,133.16140747070312,-53.974693298339844
230,89.30758666992188,149.07464599609375,14.770263671875,0.9363327622413635,32.59577178955078,12.696616172790527,133.2904052734375,-53.948585510253906
240,89.98699951171875,150.43203735351562,14.770980834960938,0.9345546364784241,32.57068634033203,12.576766967773438,133.21792602539062,-54.032196044921875
250,89.67083740234375,149.77667236328125,14.782501220703125,0.9344757199287415,32.59869384765625,12.530162811279297,133.1913299560547,-54.06550216674805
260,89.70001220703125,149.8309326171875,14.7845458984375,0.9335286617279053,32.601558685302734,12.480055809020996,133.15838623046875,-54.09913635253906
270,89.84306335449219,150.11865234375,14.783737182617188,0.9325043559074402,32.59873962402344,12.422863960266113,133.12091064453125,-54.13759231567383
280,89.52257537841797,149.46836853027344,14.78839111328125,0.9321935772895813,32.615169525146484,12.46772575378418,133.16712951660156,-54.11583709716797
290,89.66831970214844,149.75808715820312,14.789276123046875,0.9316239356994629,32.61530303955078,12.421390533447266,133.151123046875,-54.154170989990234
300,89.47955322265625,149.37913513183594,14.789985656738281,0.9313745498657227,32.62586975097656,12.457869529724121,133.20811462402344,-54.14618682861328
310,89.7481689453125,149.9181365966797,14.789100646972656,0.9305053949356079,32.62127685546875,12.387036323547363,133.1640167236328,-54.19497299194336
320,89.30278778076172,149.03074645996094,14.78741455078125,0.930762767791748,32.64263916015625,12.444011688232422,133.21401977539062,-54.16299819946289
330,89.45616912841797,149.3376007080078,14.787368774414062,0.929873526096344,32.625301361083984,12.463912963867188,133.24037170410156,-54.156272888183594
340,89.77274322509766,149.9648895263672,14.790298461914062,0.9292927980422974,32.629634857177734,12.3602876663208,133.16748046875,-54.223453521728516
350,89.38555145263672,149.2309112548828,14.770095825195312,0.9305845499038696,32.612361907958984,12.641910552978516,133.4893798828125,-54.102779388427734
360,89.14868927001953,148.7356719970703,14.780853271484375,0.9328484535217285,32.67317199707031,12.569652557373047,133.54293823242188,-54.20181655883789
370,90.2883529663086,151.0304718017578,14.773117065429688,0.9300035238265991,32.580196380615234,12.682685852050781,133.71815490722656,-54.1763916015625
