epoch,train_mean_pnl,train_std_pnl,train_objective,train_cap_penalty,avg_ratio,avg_abs_shares,cap_hit_rate,val_mean_pnl,val_std_pnl,val_objective,val_cap_penalty
1,5.523183345794678,408.0321960449219,-198.492919921875,0.006393502000719309,0.5744396448135376,14.573700904846191,0.0,-16.92806625366211,366.723388671875,-200.28976440429688,0.00596354715526104
10,12.052067756652832,404.0823974609375,-189.9891357421875,0.006488338112831116,0.6007870435714722,14.31946086883545,0.0,-17.503786087036133,366.0712890625,-200.5394287109375,0.006430702283978462
20,15.863518714904785,404.5503234863281,-186.41163635253906,0.006479551084339619,0.6986446976661682,14.045209884643555,0.0,-16.311433792114258,365.5835266113281,-199.1031951904297,0.007294877432286739
30,17.35272979736328,405.2861328125,-185.29034423828125,0.00632743863388896,0.7593953609466553,13.632946014404297,0.0,-16.29741859436035,366.005859375,-199.30035400390625,0.0074404762126505375
40,17.88973045349121,405.3368835449219,-184.77871704101562,0.006428346503525972,0.8080588579177856,13.455854415893555,0.0,-16.24066162109375,366.7058410644531,-199.5935821533203,0.007435163017362356
50,18.11529541015625,405.4075927734375,-184.5885009765625,0.006394519004970789,0.8332253694534302,13.40192985534668,0.0,-16.575586318969727,367.52789306640625,-200.33953857421875,0.007331923581659794
60,18.497325897216797,405.6966552734375,-184.3509979248047,0.006374615244567394,0.8198446035385132,13.137845993041992,0.0,-17.43120574951172,368.5593566894531,-201.71087646484375,0.007324271369725466
70,18.708498001098633,405.9142761230469,-184.24864196777344,0.006436043884605169,0.8310648798942566,13.123188018798828,0.0,-17.485475540161133,368.7320251464844,-201.8514862060547,0.007288538385182619
80,18.76258659362793,405.95318603515625,-184.21400451660156,0.006436613854020834,0.8406086564064026,13.103116035461426,0.0,-17.682403564453125,368.951904296875,-202.15835571289062,0.007313019596040249
90,18.82152557373047,406.0003662109375,-184.17864990234375,0.006407459732145071,0.8392251133918762,13.079814910888672,0.0,-17.87747573852539,369.1767883300781,-202.4658660888672,0.007365515921264887
100,18.86087989807129,406.0144348144531,-184.14633178710938,0.006372546311467886,0.838954508304596,13.059048652648926,0.0,-17.940853118896484,369.07330322265625,-202.47750854492188,0.007357059977948666
110,18.901287078857422,406.01837158203125,-184.10789489746094,0.0063826641999185085,0.8508022427558899,13.16272258758545,0.0,-17.827808380126953,368.4773864746094,-202.06649780273438,0.0075166113674640656
120,18.93756675720215,406.0207824707031,-184.0728302001953,0.006443340331315994,0.8516107797622681,13.182832717895508,0.0,-17.72868537902832,368.2807312011719,-201.86904907226562,0.007510929834097624
130,19.03929328918457,406.1754455566406,-184.04843139648438,0.006388823036104441,0.8453851938247681,13.170662879943848,0.0,-17.54718017578125,368.08245849609375,-201.58840942382812,0.007367346901446581
140,19.103076934814453,406.28985595703125,-184.04185485839844,0.006377925630658865,0.8541477918624878,13.185717582702637,0.0,-17.26848030090332,367.790771484375,-201.1638641357422,0.007404607720673084
150,18.968929290771484,406.0202331542969,-184.0411834716797,0.006448684260249138,0.8686565160751343,13.264141082763672,0.0,-16.850370407104492,367.1553955078125,-200.42807006835938,0.007683312054723501
