epoch,train_mean_pnl,train_std_pnl,train_objective,avg_ratio,avg_abs_shares,val_mean_pnl,val_std_pnl,val_objective
1,0.3762620985507965,154.28138732910156,-76.76443481445312,0.6023370027542114,19.033239364624023,27.792037963867188,156.468505859375,-50.44221496582031
10,8.278480529785156,136.11407470703125,-59.77855682373047,0.9042718410491943,31.13960838317871,25.5170841217041,137.621337890625,-43.29358673095703
20,20.023746490478516,141.3765106201172,-50.66450881958008,0.9884532690048218,33.5368766784668,26.531070709228516,133.4467315673828,-40.19229507446289
30,21.80838394165039,133.60850524902344,-44.99586868286133,1.000565528869629,33.527099609375,28.784687042236328,134.85707092285156,-38.64384841918945
40,24.850805282592773,128.0677947998047,-39.18309020996094,0.9830840229988098,32.608890533447266,28.694530487060547,131.2515411376953,-36.93124008178711
50,28.34598731994629,127.07080841064453,-35.189414978027344,0.9696828126907349,31.799571990966797,28.050085067749023,126.71549224853516,-35.30766296386719
60,28.924989700317383,124.1880874633789,-33.16905212402344,0.9767643809318542,31.981534957885742,28.763427734375,121.42166137695312,-31.947402954101562
70,31.414920806884766,125.1897964477539,-31.179977416992188,0.9382047057151794,30.759403228759766,29.09217071533203,119.93614196777344,-30.875900268554688
80,33.649593353271484,127.59516143798828,-30.147987365722656,0.9216412305831909,30.352989196777344,28.689491271972656,120.21570587158203,-31.41836166381836
90,33.72544860839844,127.04375457763672,-29.796428680419922,0.9135180711746216,29.999921798706055,26.71990966796875,122.3785400390625,-34.4693603515625
100,34.390132904052734,127.70368194580078,-29.461708068847656,0.9130780696868896,29.92551040649414,26.181610107421875,122.71595764160156,-35.176368713378906
110,32.991424560546875,124.6580581665039,-29.337604522705078,0.9120904803276062,30.1445255279541,26.461816787719727,122.6651382446289,-34.870750427246094
120,33.629764556884766,125.64025115966797,-29.19036102294922,0.9064796566963196,30.008203506469727,26.156570434570312,122.98027038574219,-35.33356475830078
130,33.89788818359375,125.54167938232422,-28.87295150756836,0.8911564350128174,29.36145782470703,24.665016174316406,124.7397689819336,-37.70486831665039
140,34.896297454833984,126.83268737792969,-28.52004623413086,0.8776440024375916,28.78484344482422,23.931621551513672,129.81265258789062,-40.97470474243164
150,33.68790817260742,124.38313293457031,-28.503658294677734,0.8810796141624451,28.855030059814453,23.8316593170166,131.22779846191406,-41.78224182128906
160,33.021629333496094,123.14859771728516,-28.552669525146484,0.8755923509597778,28.776151657104492,23.872974395751953,132.9833984375,-42.61872482299805
170,33.913780212402344,124.61285400390625,-28.39264678955078,0.8721965551376343,28.711767196655273,24.001344680786133,132.02920532226562,-42.01325988769531
180,35.50495529174805,128.16038513183594,-28.575237274169922,0.8615105748176575,28.26832389831543,23.528993606567383,133.7364959716797,-43.339256286621094
190,34.68646240234375,126.19818878173828,-28.41263198852539,0.8672481775283813,28.278385162353516,24.089893341064453,136.93804931640625,-44.37913131713867
200,34.433250427246094,125.43730163574219,-28.285400390625,0.8616771697998047,28.047361373901367,23.327760696411133,137.19149780273438,-45.26799011230469
210,33.65176010131836,123.81169891357422,-28.25408935546875,0.8577334880828857,27.92074203491211,23.092191696166992,138.7609100341797,-46.28826141357422
220,34.60926818847656,125.78893280029297,-28.285198211669922,0.8574665188789368,27.95652198791504,23.521024703979492,138.72360229492188,-45.84077453613281
230,34.25047302246094,124.90187072753906,-28.200462341308594,0.857988715171814,27.953088760375977,23.279006958007812,138.0078887939453,-45.724937438964844
240,33.90616989135742,124.21891784667969,-28.203289031982422,0.8593644499778748,28.037109375,23.058786392211914,137.03408813476562,-45.45825958251953
250,34.718048095703125,125.8332748413086,-28.198589324951172,0.8553032875061035,27.882078170776367,22.9180965423584,137.9884033203125,-46.07610321044922
260,34.30377960205078,125.19232940673828,-28.29238510131836,0.8616640567779541,28.10148811340332,23.83771514892578,137.80812072753906,-45.06634521484375
270,34.62141418457031,125.6594009399414,-28.20828628540039,0.8594555854797363,28.061513900756836,23.470766067504883,136.60784912109375,-44.833160400390625
280,33.4058723449707,123.22200012207031,-28.205127716064453,0.8619710803031921,28.185741424560547,23.1065616607666,136.01060485839844,-44.89874267578125
290,34.57089614868164,125.54771423339844,-28.202960968017578,0.8568147420883179,27.971223831176758,22.9528751373291,137.53451538085938,-45.81438446044922
300,34.1624641418457,124.70433807373047,-28.18970489501953,0.8559306263923645,27.943885803222656,22.83768653869629,138.22930908203125,-46.27696990966797
310,34.57889938354492,125.5523452758789,-28.19727325439453,0.8556573987007141,27.950088500976562,22.797513961791992,137.4438934326172,-45.92443084716797
320,33.97836685180664,124.34098052978516,-28.192123413085938,0.8565858006477356,27.972675323486328,22.79829978942871,138.05288696289062,-46.22814178466797
330,34.4505615234375,125.29987335205078,-28.19937515258789,0.8565875291824341,27.9960880279541,22.705129623413086,136.78489685058594,-45.68731689453125
