epoch,train_mean_pnl,train_std_pnl,train_objective,train_ratio_penalty,avg_ratio,avg_abs_shares,val_mean_pnl,val_std_pnl,val_objective,val_ratio_penalty
1,-21.62455177307129,133.8814239501953,-88.71586608886719,0.1437263786792755,0.6174414157867432,7.394557952880859,-19.706668853759766,101.5560302734375,-70.62628173828125,0.15766604244709015
10,-17.34413719177246,76.84642791748047,-56.08621597290039,0.015045833773911,0.9487217664718628,15.329745292663574,-14.37777042388916,74.49372100830078,-51.90275192260742,0.028428928926587105
20,-12.876288414001465,72.97274780273438,-49.71201705932617,0.024883126839995384,1.008951187133789,16.791780471801758,-12.007387161254883,77.45132446289062,-51.03752517700195,0.03264838457107544
30,-5.497311115264893,76.0587158203125,-43.86678695678711,0.04932677000761032,0.9850744009017944,16.243932723999023,-12.449614524841309,82.60037994384766,-54.039329528808594,0.06832941621541977
40,0.6077333688735962,79.40235137939453,-39.41145324707031,0.112982377409935,0.8974464535713196,14.73454761505127,-10.8815279006958,101.86249542236328,-62.05336380004883,0.16105471551418304
50,7.260139465332031,85.25652313232422,-35.673885345458984,0.1530378758907318,0.8830439448356628,14.247605323791504,-7.117010116577148,107.81077575683594,-61.259071350097656,0.21225140988826752
60,10.189751625061035,87.19109344482422,-33.7028923034668,0.19493813812732697,0.867637038230896,14.00058364868164,-7.908505916595459,108.07798767089844,-62.18787384033203,0.24561947584152222
70,12.260321617126465,89.41160583496094,-32.737159729003906,0.22460126876831055,0.8498435020446777,13.837918281555176,-11.42035961151123,101.2232666015625,-62.27413558959961,0.29105880856513977
80,11.90337085723877,87.9840316772461,-32.38045120239258,0.24016113579273224,0.8265711069107056,13.55864429473877,-17.38456916809082,97.78730010986328,-66.50152587890625,0.3488750755786896
90,13.162681579589844,89.52252197265625,-31.885066986083984,0.23951633274555206,0.8283427953720093,13.404884338378906,-17.587186813354492,95.28981018066406,-65.45752716064453,0.3605891466140747
100,12.854352951049805,88.49577331542969,-31.677749633789062,0.24693022668361664,0.8261240124702454,13.34846019744873,-19.147632598876953,95.16793823242188,-66.95855712890625,0.36582285165786743
110,12.663270950317383,88.01211547851562,-31.627445220947266,0.2614522874355316,0.82167649269104,13.447040557861328,-18.375747680664062,94.5224380493164,-65.86943817138672,0.36741286516189575
120,13.095205307006836,88.72120666503906,-31.54932975769043,0.2651371657848358,0.8227410912513733,13.488385200500488,-17.97256851196289,94.75988006591797,-65.58941650390625,0.3642277419567108
130,13.269524574279785,89.08580017089844,-31.556928634643555,0.27100956439971924,0.8212680816650391,13.512091636657715,-17.633968353271484,93.35050964355469,-64.548583984375,0.3654031455516815
140,12.901822090148926,88.28162384033203,-31.523439407348633,0.2709413170814514,0.82377028465271,13.586648941040039,-17.28362274169922,92.4277572631836,-63.7397346496582,0.36310893297195435
150,12.995477676391602,88.47299194335938,-31.524982452392578,0.2767668068408966,0.8189648389816284,13.568948745727539,-17.25325584411621,92.21189880371094,-63.60139083862305,0.36974602937698364
160,13.831879615783691,90.21336364746094,-31.557270050048828,0.2816528379917145,0.8149387836456299,13.5177640914917,-17.469390869140625,92.2418212890625,-63.83256149291992,0.37445342540740967
170,12.910420417785645,88.254638671875,-31.5012264251709,0.2820242941379547,0.8137035369873047,13.58336067199707,-17.59774398803711,91.64805603027344,-63.66407012939453,0.38075441122055054
180,13.785091400146484,90.07496643066406,-31.53470230102539,0.29114413261413574,0.801759660243988,13.481123924255371,-18.117063522338867,92.08746337890625,-64.40098571777344,0.3946472108364105
190,12.693758964538574,88.062744140625,-31.620769500732422,0.29374873638153076,0.7953287959098816,13.473617553710938,-18.68881607055664,93.5781478881836,-65.71561431884766,0.40537843108177185
200,13.007487297058105,88.43634796142578,-31.493371963500977,0.299023300409317,0.7908222675323486,13.46403980255127,-18.794431686401367,92.52055358886719,-65.29289245605469,0.41001084446907043
210,12.708346366882324,87.92584228515625,-31.53690528869629,0.3007049858570099,0.7887513041496277,13.445996284484863,-19.417552947998047,93.57525634765625,-66.4429931640625,0.41042718291282654
220,12.717219352722168,87.87185668945312,-31.5015869140625,0.3007234036922455,0.7926555871963501,13.525496482849121,-18.48414421081543,91.82984924316406,-64.64088439941406,0.40464144945144653
230,12.792811393737793,87.96450805664062,-31.471731185913086,0.30367279052734375,0.7901141047477722,13.495406150817871,-18.855499267578125,91.88504028320312,-65.03919982910156,0.4069420397281647
240,13.737422943115234,89.87429809570312,-31.479734420776367,0.31029996275901794,0.7852436304092407,13.412517547607422,-19.161226272583008,92.35735321044922,-65.58087921142578,0.4077000617980957
250,13.650906562805176,89.65807342529297,-31.45819664001465,0.31102243065834045,0.7856178879737854,13.439478874206543,-19.239990234375,91.877197265625,-65.42121887207031,0.4055338501930237
260,14.435529708862305,91.22907257080078,-31.4539852142334,0.3204706907272339,0.7723459601402283,13.218798637390137,-20.252002716064453,94.3507080078125,-67.66712951660156,0.4068295657634735
270,13.220175743103027,88.56048583984375,-31.33783721923828,0.30958935618400574,0.7885300517082214,13.492281913757324,-17.825931549072266,90.76458740234375,-63.45968246459961,0.3890914022922516
280,13.353110313415527,88.76441955566406,-31.306610107421875,0.310723215341568,0.7906489372253418,13.545599937438965,-17.607637405395508,90.38957214355469,-63.05802536010742,0.3833933472633362
290,13.703051567077637,89.49253845214844,-31.319515228271484,0.3152492642402649,0.7889823913574219,13.54345417022705,-17.36571502685547,90.59078979492188,-62.91938400268555,0.37996551394462585
300,13.273741722106934,88.62480926513672,-31.315847396850586,0.31571707129478455,0.7920940518379211,13.64936351776123,-16.70742416381836,89.18094635009766,-61.56114196777344,0.37481439113616943
310,12.835833549499512,87.73230743408203,-31.308853149414062,0.3121742606163025,0.7992456555366516,13.779998779296875,-15.90734577178955,87.8850326538086,-60.11865234375,0.36835789680480957
320,13.033036231994629,88.12670135498047,-31.308385848999023,0.31358540058135986,0.7995119094848633,13.790637969970703,-16.04904556274414,87.77976989746094,-60.209503173828125,0.36721542477607727
330,12.98361873626709,87.9743881225586,-31.281455993652344,0.31467607617378235,0.8001505136489868,13.812929153442383,-15.918048858642578,87.58834838867188,-59.984718322753906,0.3658778965473175
