param,mean_abs_delta_pnl,max_abs_delta_pnl,mean_abs_delta_sharpe,mean_abs_delta_trades
spread_cross_fraction,3931.6498559670154,6929.130480662875,1.1850193974345535,10.125
slippage_bps,850.4721909379031,1785.9327562901044,0.2476937013214063,4.375
option_commission_per_contract,711.1313141369295,1218.5977748216785,0.22828875952236377,0.25
min_edge_to_cost_ratio,511.4743770465742,936.4400383171551,0.15982745802870596,6.375
option_fee_per_contract,120.68490911737743,334.47922179642046,0.042987137513491626,0.0
fill_gate,118.59580460694497,389.02775838688467,0.03162374685727695,0.625
volume_participation_rate,51.9860891376502,207.9443565506008,0.023248450249192032,0.0
