param,mean_abs_delta_pnl,max_abs_delta_pnl,mean_abs_delta_sharpe,mean_abs_delta_trades
spread_cross_fraction,3936.6071939707576,10061.28923439733,0.9364270919406903,4.25
min_edge_to_cost_ratio,2963.7781816760767,11081.502307495484,0.35210463960055094,103.0
volume_participation_rate,2770.375576873871,11081.502307495484,0.3137323129473994,102.5
slippage_bps,843.4356061543361,1874.079406809161,0.23376458737837782,1.875
option_commission_per_contract,699.1080647733897,1821.1675018925798,0.23096140179934446,0.5
option_fee_per_contract,118.01477030774839,309.8451300064753,0.04155352251180684,0.125
fill_gate,115.67400207969047,598.864281290952,0.02585953707837446,0.25
