symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,backtest_version,generated_at_utc,total_pnl,daily_sharpe,trades,total_fees,total_options_pnl,total_options_pnl_gross,total_hedge_pnl,final_equity,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
AAPL,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:15:52.336124Z,3348.6775028692264,1.5795162972081385,815.0,2241.8524347543716,2958.537192268939,5200.389627023311,390.1403106002869,13348.677502869226,3348.6775028692264,1.5795162972081385,815.0,0.0,0.0,0.0
AAPL,fill_gate=0.3,fill_gate,low,0.3,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:15:54.397091Z,3947.5417841601784,1.7296825515929855,815.0,2241.840401601791,3297.9744281710955,5539.814829772888,649.5673559890814,13947.541784160176,3348.6775028692264,1.5795162972081385,815.0,598.864281290952,0.150166254384847,0.0
AAPL,fill_gate=0.6,fill_gate,high,0.6,10.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:15:56.843893Z,3360.2295044311995,1.58473940570099,815.0,2241.852631855011,2970.0891938309114,5211.941825685923,390.1403106002869,13360.2295044312,3348.6775028692264,1.5795162972081385,815.0,11.552001561973157,0.005223108492851569,0.0
AAPL,slippage_bps=5.0,slippage_bps,low,0.45,5.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:15:58.851281Z,4637.541704255645,2.1401259340727274,812.0,2233.6359790086744,4319.352815118371,6552.988794127046,318.1888891372738,14637.541704255646,3348.6775028692264,1.5795162972081385,815.0,1288.8642013864182,0.560609636864589,-3.0
AAPL,slippage_bps=15.0,slippage_bps,high,0.45,15.0,0.75,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:00.757428Z,1591.200784314296,0.8575258899400465,814.0,2239.062704515457,1132.1507115863246,3371.213416101782,459.0500727279711,11591.200784314296,3348.6775028692264,1.5795162972081385,815.0,-1757.4767185549304,-0.7219904072680919,-1.0
AAPL,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:02.719789Z,5661.769772013682,2.526796187785565,807.0,2219.957982373238,4233.728121311772,6453.68610368501,1428.0416507019095,15661.769772013684,3348.6775028692264,1.5795162972081385,815.0,2313.0922691444557,0.9472798905774265,-8.0
AAPL,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:05.009453Z,-1834.2509426598358,-0.7435926724369305,821.0,2258.3114045858383,-2969.0272262444387,-710.7158216585989,1134.776283584602,8165.749057340166,3348.6775028692264,1.5795162972081385,815.0,-5182.928445529062,-2.323108969645069,6.0
AAPL,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:07.084797Z,4290.037008064913,1.998186402565995,815.0,1281.060531616211,3900.4208335730227,5181.481365189235,389.61617449188856,14290.037008064914,3348.6775028692264,1.5795162972081385,815.0,941.3595051956863,0.41867010535785654,0.0
AAPL,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:09.084834Z,2387.88360226021,1.1554510798829598,815.0,3202.646335363388,1997.7432916599232,5200.389627023311,390.1403106002869,12387.88360226021,3348.6775028692264,1.5795162972081385,815.0,-960.7939006090164,-0.42406521732517866,0.0
AAPL,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,2026-02-18-realistic-costs-fill-psr-v6,2026-02-18T06:16:11.095758Z,3457.347662514375,1.6294931209675305,815.0,2113.749877166748,3067.7314880224867,5181.481365189235,389.61617449188856,13457.347662514376,3348.6775028692264,1.5795162972081385,815.0,108.67015964514849,0.04997682375939205,0.0
