symbol,scenario,param,level,fill_gate,slippage_bps,spread_cross_fraction,option_commission_per_contract,option_fee_per_contract,min_edge_to_cost_ratio,volume_participation_rate,device,signal_abs_gate,strategy_mode,long_score_scale,allow_long_puts,vertical_skip_if_no_wing,hedge_underlying_delta,max_trades_per_day,total_pnl,daily_sharpe,trades,baseline_total_pnl,baseline_daily_sharpe,baseline_trades,delta_total_pnl,delta_daily_sharpe,delta_trades
MSFT,spread_cross_fraction=0.55,spread_cross_fraction,low,0.45,10.0,0.55,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,4104.096720138518,1.2242866645169976,858.0,-2825.0337605243567,-0.49828905882503277,847.0,6929.130480662875,1.7225757233420305,11.0
MSFT,spread_cross_fraction=0.95,spread_cross_fraction,high,0.45,10.0,0.95,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-9385.597684929287,0.9659730325063677,844.0,-2825.0337605243567,-0.49828905882503277,847.0,-6560.563924404931,1.4642620913314004,-3.0
MSFT,option_commission_per_contract=0.35,option_commission_per_contract,low,0.45,10.0,0.75,0.35,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-1606.4359857026782,-0.21546849599398726,846.0,-2825.0337605243567,-0.49828905882503277,847.0,1218.5977748216785,0.2828205628310455,-1.0
MSFT,option_commission_per_contract=0.95,option_commission_per_contract,high,0.45,10.0,0.75,0.95,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-3920.8632923598248,-0.7309337400297867,847.0,-2825.0337605243567,-0.49828905882503277,847.0,-1095.829531835468,-0.23264468120475396,0.0
MSFT,option_fee_per_contract=0.01,option_fee_per_contract,low,0.45,10.0,0.75,0.65,0.01,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-2691.8173079925423,-0.46785620951602497,847.0,-2825.0337605243567,-0.49828905882503277,847.0,133.2164525318144,0.030432849309007803,0.0
MSFT,option_fee_per_contract=0.1,option_fee_per_contract,high,0.45,10.0,0.75,0.65,0.1,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-2991.5543261891257,-0.5358523713059015,847.0,-2825.0337605243567,-0.49828905882503277,847.0,-166.52056566476904,-0.037563312480868694,0.0
MSFT,min_edge_to_cost_ratio=1.25,min_edge_to_cost_ratio,low,0.45,10.0,0.75,0.65,0.05,1.25,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-3761.473798841512,-0.6957383401770932,856.0,-2825.0337605243567,-0.49828905882503277,847.0,-936.4400383171551,-0.19744928135206047,9.0
MSFT,min_edge_to_cost_ratio=2.25,min_edge_to_cost_ratio,high,0.45,10.0,0.75,0.65,0.05,2.25,0.02,cpu,0.04,vertical,1.0,True,True,True,5,-2569.482384012391,-0.4465811934904402,841.0,-2825.0337605243567,-0.49828905882503277,847.0,255.55137651196583,0.051707865334592595,-6.0
MSFT,volume_participation_rate=0.01,volume_participation_rate,low,0.45,10.0,0.75,0.65,0.05,1.75,0.01,cpu,0.04,vertical,1.0,True,True,True,5,-2825.0337605243567,-0.49828905882503277,847.0,-2825.0337605243567,-0.49828905882503277,847.0,0.0,0.0,0.0
MSFT,volume_participation_rate=0.05,volume_participation_rate,high,0.45,10.0,0.75,0.65,0.05,1.75,0.05,cpu,0.04,vertical,1.0,True,True,True,5,-2825.0337605243567,-0.49828905882503277,847.0,-2825.0337605243567,-0.49828905882503277,847.0,0.0,0.0,0.0
QQQ,baseline,baseline,base,0.45,10.0,0.75,0.65,0.05,1.75,0.02,cpu,0.04,vertical,1.0,True,True,True,5,11434.084679160063,3.2678218594631048,397.0,11434.084679160063,3.2678218594631048,397.0,0.0,0.0,0.0
