param,mean_abs_delta_pnl,max_abs_delta_pnl,mean_abs_delta_sharpe,mean_abs_delta_trades
spread_cross_fraction,3931.6498559670154,6929.125783040465,1.1849921428551191,10.125
slippage_bps,850.4732168094172,1785.9280586676937,0.24792784311258467,4.375
option_commission_per_contract,711.1313141369297,1218.5930771992678,0.22828875952236377,0.25
min_edge_to_cost_ratio,511.4724377581538,936.4447359395658,0.15972292803526228,6.375
fill_gate,118.59983171787448,431.73586236573465,0.03175553143015507,0.625
option_fee_per_contract,108.24096536904543,166.52526328717977,0.0361695389865274,0.0
volume_participation_rate,0.004146711960686389,0.007757153681950513,0.0003728774001595797,0.0
