param,mean_abs_delta_pnl,max_abs_delta_pnl,mean_abs_delta_sharpe,mean_abs_delta_trades
spread_cross_fraction,3943.309204785793,6956.0144205188335,1.0933124119568989,10.125
slippage_bps,901.7555194176766,1759.704473160221,0.2582278298500677,4.375
option_commission_per_contract,709.4945699337434,1205.5038211961905,0.21909867013898268,0.25
min_edge_to_cost_ratio,605.1630060119522,1432.566969339335,0.24015195786373922,6.375
fill_gate,118.59580460694451,431.7363407698581,0.030977849102995086,0.625
option_fee_per_contract,108.24096536904548,166.52056566476813,0.034540893175012466,0.0
volume_participation_rate,54.55949434432932,218.2379773773173,0.08431366146261376,0.0
