stage,epoch,loss,recon_loss,kl_loss,calendar_loss,val_recon_loss,dyn_loss,price_loss,exec_loss,val_dyn_loss,val_price_loss,val_exec_loss
vae,1,0.9779661417007446,0.9771819472312927,0.03920980356633663,0.0,0.7327951192855835,,,,,,
vae,2,0.7046344041824341,0.6852573037147522,0.9688555598258972,2.783967278929822e-10,0.5320069789886475,,,,,,
vae,3,0.49581919312477113,0.47317405939102175,1.1322567582130432,1.884079281477824e-11,0.474709689617157,,,,,,
vae,4,0.4778762340545654,0.4614429771900177,0.8216627895832062,2.6121589821737066e-10,0.49184930324554443,,,,,,
vae,5,0.457232677936554,0.44142364859580996,0.7904510915279388,8.521795213933813e-11,0.465561181306839,,,,,,
vae,6,0.44025139808654784,0.42551925778388977,0.7366068422794342,1.2964437856588517e-11,0.46574321389198303,,,,,,
vae,7,0.44056811928749084,0.42364466190338135,0.8461728692054749,2.8257982065404973e-11,0.47413501143455505,,,,,,
vae,8,0.4047863960266113,0.38636837601661683,0.9209011435508728,3.398129777565373e-10,0.45805302262306213,,,,,,
vae,9,0.3864379048347473,0.3617983520030975,1.2319777369499207,4.792684489291627e-12,0.43855488300323486,,,,,,
vae,10,0.3549356281757355,0.3317691802978516,1.158322238922119,4.6242170075733166e-11,0.4299360513687134,,,,,,
vae,11,0.3489703357219696,0.32339928150177,1.2785529494285583,1.185220532828879e-11,0.40939000248908997,,,,,,
vae,12,0.3388940513134003,0.3117079079151154,1.3593073844909669,6.117088710566599e-11,0.4062178432941437,,,,,,
vae,13,0.33420503735542295,0.30923749804496764,1.2483771800994874,1.022965978592083e-09,0.4045957624912262,,,,,,
vae,14,0.3270314157009125,0.3021539509296417,1.2438731431961059,3.3169996273545014e-11,0.39234450459480286,,,,,,
vae,15,0.3174568355083466,0.29186956882476806,1.2793633460998535,5.119694168609356e-10,0.3977024555206299,,,,,,
vae,16,0.3109706103801727,0.28744789958000183,1.1761356472969056,6.378492786035528e-13,0.3750142753124237,,,,,,
vae,17,0.30655534863471984,0.2818163812160492,1.2369485378265381,1.1112447975691886e-10,0.3579040765762329,,,,,,
vae,18,0.29705196619033813,0.2716661930084229,1.269288992881775,1.173998078656327e-10,0.35389992594718933,,,,,,
vae,19,0.2961237460374832,0.27114011347293854,1.2491816759109498,2.79905057465335e-12,0.35638633370399475,,,,,,
vae,20,0.29749831557273865,0.2708654284477234,1.3316441774368286,3.448396555501623e-10,0.3523283898830414,,,,,,
vae,21,0.28947487473487854,0.26210140585899355,1.3686735391616822,5.554845972088885e-10,0.35151559114456177,,,,,,
vae,22,0.28365020751953124,0.25635703802108767,1.364658260345459,5.883218467950257e-10,0.3515268564224243,,,,,,
vae,23,0.2827635586261749,0.2553390353918076,1.3712260961532592,9.343920526205807e-10,0.34682366251945496,,,,,,
vae,24,0.2764670789241791,0.24809435307979583,1.418635869026184,6.978688224523743e-10,0.3865986466407776,,,,,,
vae,25,0.2745224893093109,0.24713891446590425,1.3691787242889404,1.0923519662593694e-11,0.355172336101532,,,,,,
vae,26,0.26764096319675446,0.24010249972343445,1.3769233226776123,1.3447645148855545e-10,0.3402102589607239,,,,,,
vae,27,0.2567977696657181,0.22753526270389557,1.4631256580352783,1.0365546199153642e-10,0.34044376015663147,,,,,,
vae,28,0.2538901776075363,0.2257194072008133,1.4085383653640746,2.6571974820997767e-09,0.3375028073787689,,,,,,
vae,29,0.24406783580780028,0.215140700340271,1.4463567972183227,7.146263512371187e-10,0.33249345421791077,,,,,,
vae,30,0.24371967017650603,0.21543206572532653,1.414380097389221,4.948881536992119e-10,0.351941853761673,,,,,,
vae,31,0.24418569803237916,0.21614616215229035,1.4019771337509155,2.4126294625309573e-11,0.3370426893234253,,,,,,
vae,32,0.23892425000667572,0.21085069179534913,1.4036781787872314,2.7973623414578707e-09,0.3350618779659271,,,,,,
vae,33,0.23973041772842407,0.21198655664920807,1.3871928930282593,3.8467389169849486e-10,0.33909279108047485,,,,,,
vae,34,0.23914524614810945,0.20991496443748475,1.461514163017273,1.5073176459865379e-09,0.3310081660747528,,,,,,
vae,35,0.23369090259075165,0.2053006112575531,1.419514536857605,2.3402406251153003e-09,0.3497263491153717,,,,,,
vae,36,0.22529809176921844,0.19701497852802277,1.4141557455062865,2.0681586697553213e-09,0.3299209475517273,,,,,,
vae,37,0.23527906239032745,0.20612907111644746,1.4574995756149292,3.550211553170806e-09,0.3234242796897888,,,,,,
vae,38,0.2288002759218216,0.20081620514392853,1.3992034196853638,3.00116013029106e-09,0.3260513246059418,,,,,,
vae,39,0.22728456556797028,0.19952824711799622,1.387816071510315,1.3690315991965463e-09,0.32935529947280884,,,,,,
vae,40,0.22728779017925263,0.19899379312992097,1.4146999835968017,1.6947729114188959e-09,0.33055710792541504,,,,,,
vae,41,0.21937492489814758,0.1898505061864853,1.4762209892272948,2.1010212267885687e-10,0.3193031847476959,,,,,,
vae,42,0.21035085916519164,0.1814765751361847,1.443714451789856,1.5316157099543037e-09,0.32131755352020264,,,,,,
vae,43,0.21696782112121582,0.18834990859031678,1.430895781517029,3.0863506865442745e-09,0.32390812039375305,,,,,,
vae,44,0.21535535752773285,0.18717073500156403,1.4092312335968018,5.393782909202116e-09,0.32596832513809204,,,,,,
vae,45,0.22175393402576446,0.1939500540494919,1.3901938915252685,1.6275922436193025e-09,0.3251575827598572,,,,,,
vae,46,0.21435666680336,0.18620452284812927,1.407607102394104,6.68117688951142e-10,0.3212459087371826,,,,,,
vae,47,0.21003113687038422,0.17966832518577575,1.5181405782699584,1.4452580236745672e-09,0.31387993693351746,,,,,,
vae,48,0.20828076601028442,0.1781902313232422,1.5045268297195435,2.411689976888898e-09,0.31960031390190125,,,,,,
vae,49,0.20567309558391572,0.17629107534885408,1.4691009998321534,2.0016114312890189e-10,0.3414566218852997,,,,,,
vae,50,0.2048511803150177,0.1741244077682495,1.5363385200500488,2.6456554752529725e-09,0.330538809299469,,,,,,
vae,51,0.2097431719303131,0.18057594299316407,1.4583612442016602,1.1081358147412657e-09,0.3584854006767273,,,,,,
vae,52,0.22432641983032225,0.1943848669528961,1.4970777988433839,6.907147576118433e-10,0.34260329604148865,,,,,,
vae,53,0.21257491707801818,0.1826673448085785,1.4953785419464112,1.2422624592195452e-09,0.3381304144859314,,,,,,
vae,54,0.20529068410396575,0.17471845746040343,1.5286112785339356,7.839100705717139e-09,0.3134552538394928,,,,,,
vae,55,0.20101569294929506,0.17275669276714326,1.41295006275177,1.938905790435652e-09,0.33162957429885864,,,,,,
vae,56,0.19876240193843842,0.16898637115955353,1.4888015985488892,2.0243069498437905e-09,0.3189837634563446,,,,,,
vae,57,0.19500563144683838,0.16419783532619475,1.5403898239135743,4.186048157585331e-09,0.3165125846862793,,,,,,
vae,58,0.19806415736675262,0.16682676672935487,1.5618695735931396,1.0120740981389709e-09,0.32268691062927246,,,,,,
vae,59,0.20046135783195496,0.17146917581558227,1.449609112739563,2.462145888212919e-09,0.3318563401699066,,,,,,
vae,60,0.18996165096759796,0.16000619232654573,1.4977728843688964,6.344497732735377e-10,0.3137800991535187,,,,,,
vae,61,0.19293756783008575,0.16306922435760499,1.4934171438217163,1.3507108955618241e-09,0.3054637312889099,,,,,,
vae,62,0.17985453307628632,0.14990874826908113,1.4972893476486206,7.620560463217352e-09,0.3107147812843323,,,,,,
vae,63,0.18665337264537812,0.1559589087963104,1.5347232580184937,4.746378945430507e-09,0.30385714769363403,,,,,,
vae,64,0.1941821753978729,0.16266368329524994,1.5759246826171875,3.694971752871146e-09,0.31271255016326904,,,,,,
vae,65,0.20725971162319184,0.177082759141922,1.5088476657867431,1.2795029508128053e-09,0.3117160201072693,,,,,,
vae,66,0.19190224707126619,0.15882166624069213,1.654028868675232,8.740476195243096e-09,0.32701021432876587,,,,,,
vae,67,0.19885014593601227,0.16910558342933654,1.4872281551361084,3.5146973054178687e-09,0.33628833293914795,,,,,,
vae,68,0.18306228518486023,0.15283287763595582,1.5114705085754394,6.269495176486339e-09,0.320444792509079,,,,,,
vae,69,0.17879098653793335,0.14783170223236083,1.5479644060134887,2.301482940336719e-09,0.31386488676071167,,,,,,
vae,70,0.1736884444952011,0.14263435304164887,1.5527044534683228,1.327797263805941e-09,0.30728569626808167,,,,,,
vae,71,0.16700705289840698,0.13490680158138274,1.6050125360488892,2.240640928352633e-09,0.31008800864219666,,,,,,
vae,72,0.16708026230335235,0.1364741548895836,1.5303053617477418,4.655681738741091e-09,0.30367740988731384,,,,,,
vae,73,0.16768760979175568,0.13649331629276276,1.5597147464752197,3.34018785963508e-09,0.31341463327407837,,,,,,
vae,74,0.1648825764656067,0.1321682184934616,1.635718035697937,6.731208460064586e-09,0.3132544457912445,,,,,,
vae,75,0.16975130140781403,0.13800642788410186,1.5872437477111816,1.900931889675661e-09,0.34930089116096497,,,,,,
vae,76,0.1722211480140686,0.13884296715259553,1.6689091444015502,1.530268040061955e-09,0.319886177778244,,,,,,
vae,77,0.17276046872138978,0.14085773229599,1.5951367616653442,4.089303540927291e-09,0.32910555601119995,,,,,,
vae,78,0.167069873213768,0.13441020250320435,1.6329835414886475,1.7465741908306853e-09,0.32543328404426575,,,,,,
vae,79,0.16471168994903565,0.13390837609767914,1.5401657104492188,3.833586703638758e-09,0.31427571177482605,,,,,,
vae,80,0.16122865974903106,0.12947354465723038,1.5877558231353759,4.542566567344864e-09,0.30547961592674255,,,,,,
vae,81,0.15534420013427735,0.12465639710426331,1.5343900918960571,1.9405579865239274e-09,0.31044477224349976,,,,,,
vae,82,0.1537657141685486,0.12169208824634552,1.6036814451217651,7.474379781768903e-09,0.31296947598457336,,,,,,
vae,83,0.15031399726867675,0.11906405240297317,1.562497091293335,2.942050800203155e-09,0.3072730600833893,,,,,,
vae,84,0.15108041763305663,0.11992326229810715,1.557857632637024,2.7140038216799666e-09,0.30912402272224426,,,,,,
vae,85,0.15124985277652742,0.11817697882652282,1.653643798828125,4.925266622324287e-09,0.31335869431495667,,,,,,
vae,86,0.15252233445644378,0.12029986679553986,1.6111233234405518,7.663178669403692e-09,0.31114423274993896,,,,,,
vae,87,0.14914813339710237,0.11630602031946183,1.6421056032180785,7.641313484740841e-10,0.32998335361480713,,,,,,
vae,88,0.1556982696056366,0.12373618185520172,1.5981042623519897,2.9549565988551407e-09,0.33636096119880676,,,,,,
vae,89,0.1601727843284607,0.12867649793624877,1.5748144388198853,2.966556222894212e-09,0.3816252052783966,,,,,,
vae,90,0.18240878582000733,0.15038470476865767,1.6012037754058839,5.64200683256244e-09,0.3294963836669922,,,,,,
vae,91,0.1629828542470932,0.1321258008480072,1.5428526639938354,2.5592357733028593e-09,0.3591865301132202,,,,,,
vae,92,0.15541909039020538,0.1214998260140419,1.6959632396698,3.719227192888752e-09,0.3178586959838867,,,,,,
vae,93,0.15827686488628387,0.12623391598463057,1.6021474838256835,6.235694094414157e-09,0.3315376341342926,,,,,,
vae,94,0.1645728349685669,0.1326141819357872,1.5979327440261841,2.9635881221290463e-09,0.33714503049850464,,,,,,
vae,95,0.16619772613048553,0.1350753277540207,1.5561199188232422,2.9760632298814206e-09,0.34607309103012085,,,,,,
vae,96,0.15332865118980407,0.11922443956136704,1.705210518836975,5.464534233445839e-09,0.34236940741539,,,,,,
vae,97,0.14369202852249147,0.11045530587434768,1.6618360996246337,4.271976618112905e-09,0.3146713078022003,,,,,,
vae,98,0.1394449770450592,0.10756846517324448,1.5938254833221435,2.319206607315216e-09,0.32217639684677124,,,,,,
vae,99,0.14044930338859557,0.1071979597210884,1.6625670671463013,6.501248539514393e-09,0.32107481360435486,,,,,,
vae,100,0.14152809977531433,0.10901972949504853,1.625418496131897,1.9401452083789296e-09,0.331043004989624,,,,,,
vae,101,0.13936842679977418,0.1057062640786171,1.6831082582473755,3.779669588421797e-09,0.33039015531539917,,,,,,
vae,102,0.14130064845085144,0.10758655220270157,1.6857048988342285,3.436234962198026e-09,0.32370051741600037,,,,,,
vae,103,0.14482679665088655,0.111677648127079,1.657457423210144,5.034534578118866e-09,0.331208199262619,,,,,,
vae,104,0.13970719128847123,0.10764664560556411,1.60302734375,2.4207838872358777e-09,0.3172469139099121,,,,,,
vae,105,0.13688184916973115,0.10410043746232986,1.6390705108642578,4.770307859836009e-09,0.3252667486667633,,,,,,
vae,106,0.13703838884830474,0.10394659638404846,1.6545896530151367,1.1269686517323407e-08,0.319328248500824,,,,,,
vae,107,0.1324314519762993,0.09883959442377091,1.6795928001403808,3.3614126426773082e-09,0.3142308294773102,,,,,,
vae,108,0.13084043860435485,0.09704480171203614,1.6897819280624389,4.953988796962961e-09,0.33476024866104126,,,,,,
vae,109,0.132907173037529,0.09980777502059937,1.654969835281372,1.8759724551564715e-09,0.31844380497932434,,,,,,
vae,110,0.12834319323301316,0.09475080072879791,1.6796197175979615,2.7569564298168812e-09,0.30458447337150574,,,,,,
vae,111,0.12817533165216446,0.0959848940372467,1.6095218896865844,3.754231592267843e-09,0.3277433514595032,,,,,,
vae,112,0.12882618308067323,0.09620403498411179,1.6311074018478393,1.5441096401502818e-09,0.31432947516441345,,,,,,
vae,113,0.13242450654506682,0.09986350983381272,1.6280497789382935,2.8277791885855665e-09,0.3318977952003479,,,,,,
vae,114,0.12651270925998687,0.09235817939043045,1.707726526260376,2.0282091672818582e-09,0.31369921565055847,,,,,,
vae,115,0.1337496370077133,0.09952950030565262,1.7110069274902344,4.970804590165301e-09,0.3203904330730438,,,,,,
vae,116,0.12404204607009887,0.09042247235774994,1.6809786558151245,3.4566861484286447e-09,0.32155686616897583,,,,,,
vae,117,0.12634038478136062,0.09453252106904983,1.5903931379318237,2.05856424684292e-09,0.3126753866672516,,,,,,
vae,118,0.13058799207210542,0.09688428640365601,1.6851853132247925,3.334499631968413e-09,0.3192225694656372,,,,,,
vae,119,0.13022998571395875,0.09587637186050416,1.7176806449890136,8.227699833940338e-09,0.316605806350708,,,,,,
vae,120,0.12703763991594313,0.09229515343904496,1.7371242046356201,2.9257189559928067e-09,0.3124637305736542,,,,,,
heads,1,,,,,,1.4669580062230427,0.40980905031456666,0.36099636708112326,0.7638489007949829,0.6914129257202148,0.14321528375148773
heads,2,,,,,,1.4594751596450806,0.2579236457891324,0.1558534248786814,0.7475029826164246,0.07676666229963303,0.11612426489591599
heads,3,,,,,,1.3944648901621501,0.13661834115491195,0.14153695018852458,0.7305475473403931,0.05136846378445625,0.09901805222034454
heads,4,,,,,,1.2904993295669556,0.10188071232508211,0.13581663348218975,0.7129725217819214,0.02810715325176716,0.08813254535198212
heads,5,,,,,,1.3250701030095418,0.08055835463764037,0.1331364479573334,0.6954165697097778,0.01844908855855465,0.07934936881065369
heads,6,,,,,,1.243076999982198,0.07031210183220751,0.13085939581779873,0.6770867109298706,0.015311681665480137,0.07559821009635925
heads,7,,,,,,1.268455982208252,0.06432406527592856,0.12890340541215503,0.6592330932617188,0.011962441727519035,0.075025774538517
heads,8,,,,,,1.1453691323598225,0.059379679096095705,0.12669826320865574,0.6442365646362305,0.011352111585438251,0.06767574697732925
heads,9,,,,,,1.050949494043986,0.05565272918080583,0.12451603953890941,0.632348895072937,0.009942909702658653,0.06458491086959839
heads,10,,,,,,1.0989627838134766,0.05243630800396204,0.12305484361508313,0.6239243149757385,0.008989829570055008,0.06241610273718834
heads,11,,,,,,1.068277915318807,0.05009915104464573,0.12090053091592648,0.617461085319519,0.007578260265290737,0.06200973689556122
heads,12,,,,,,1.0655168692270915,0.047618329524993896,0.1194708718753913,0.6127413511276245,0.007624968886375427,0.06470620632171631
heads,13,,,,,,1.0563934246699016,0.045650073820177245,0.11788079252137858,0.6080119013786316,0.006206849589943886,0.06029289588332176
heads,14,,,,,,0.9633060495058695,0.04392476916751441,0.11638111478703864,0.605002760887146,0.005660488735884428,0.05997566506266594
heads,15,,,,,,0.9666228890419006,0.04250886176219758,0.11530996146885787,0.6019700765609741,0.005443683359771967,0.06127377599477768
heads,16,,,,,,0.9639091094334921,0.04154974726193091,0.11348446962587974,0.5991339087486267,0.004455669783055782,0.05999220907688141
heads,17,,,,,,0.9188802242279053,0.040305321652661354,0.11153361464247984,0.5966312885284424,0.0042629423551261425,0.0573820061981678
heads,18,,,,,,0.9102364778518677,0.03950705187504783,0.11038216630763867,0.5931029915809631,0.004336245357990265,0.05861039459705353
heads,19,,,,,,0.9215547243754069,0.03865388002904022,0.1089878393446698,0.589226484298706,0.003704650094732642,0.05959491431713104
heads,20,,,,,,0.8748047749201456,0.03789108235608129,0.1082324881983154,0.5838913321495056,0.003413065103814006,0.05860385298728943
heads,21,,,,,,0.9087823629379272,0.036913862725829374,0.10780711844563484,0.578612208366394,0.003608550876379013,0.06131337210536003
heads,22,,,,,,0.8835676113764445,0.03634012737037504,0.10723434125675875,0.5735546946525574,0.0031639684457331896,0.05674353241920471
heads,23,,,,,,0.8606235186258951,0.03563436986330677,0.10693886722711955,0.5694238543510437,0.003048080252483487,0.06231004372239113
heads,24,,,,,,0.8549256324768066,0.03536196841913111,0.10618685558438301,0.5670316219329834,0.00362051697447896,0.060657672584056854
heads,25,,,,,,0.7987788716952006,0.03507964849910315,0.10585157058256514,0.5652610063552856,0.003280308796092868,0.06814828515052795
heads,26,,,,,,0.8153443535168966,0.03422583343789858,0.10535477331894286,0.5644099712371826,0.002894590375944972,0.0631408542394638
heads,27,,,,,,0.8425508936246237,0.03413842766381362,0.10516965619343169,0.5638220310211182,0.002621416235342622,0.0602281428873539
heads,28,,,,,,0.772865374883016,0.03301011313519934,0.10477404055349968,0.5626435279846191,0.0025967576075345278,0.058744315057992935
heads,29,,,,,,0.7757674853006998,0.03291089868392138,0.10433758565169923,0.5614467859268188,0.0024032380897551775,0.05896732956171036
heads,30,,,,,,0.8057380517323812,0.032394243596012104,0.10419417468502241,0.5598284006118774,0.0026360710617154837,0.06162091717123985
heads,31,,,,,,0.7993756731351217,0.03246425757842029,0.10359873304910519,0.5569865703582764,0.0024907400365918875,0.0621412917971611
heads,32,,,,,,0.7544960776964823,0.031748783829457616,0.10331939226564239,0.555255651473999,0.0022297720424830914,0.06500866264104843
heads,33,,,,,,0.8023566206296285,0.031747028149445265,0.10305460860185764,0.5550340414047241,0.002415244234725833,0.06088057532906532
heads,34,,,,,,0.7451823949813843,0.03124403005794567,0.1026792131802615,0.5543190836906433,0.0024514026008546352,0.06622284650802612
heads,35,,,,,,0.7440085808436075,0.031089142129263458,0.10232751674073584,0.5541629791259766,0.002233928767964244,0.06851600110530853
heads,36,,,,,,0.7517701983451843,0.031104890684432843,0.1017646595616551,0.553566575050354,0.0023256849963217974,0.06823493540287018
heads,37,,,,,,0.7383448084195455,0.030309192781500956,0.10169274009325925,0.5524899959564209,0.0022673937492072582,0.06460004299879074
heads,38,,,,,,0.7504402995109558,0.03017670872128185,0.10135066914646064,0.5512198209762573,0.0020851052831858397,0.0670497715473175
heads,39,,,,,,0.7418126265207926,0.030256644685697907,0.10118588870939087,0.5509225130081177,0.0018946982454508543,0.06787531077861786
heads,40,,,,,,0.7227262059847513,0.02960271525251515,0.10101287811994553,0.5538833737373352,0.0022235664073377848,0.06966672092676163
heads,41,,,,,,0.7029322584470113,0.029757257140077212,0.10045100113048273,0.5574033856391907,0.0021444244775921106,0.06878848373889923
heads,42,,,,,,0.7062438329060873,0.02938760880052167,0.10032607713604674,0.5627315640449524,0.0019657162483781576,0.06941818445920944
heads,43,,,,,,0.6941130757331848,0.02939065156833214,0.10009567636777372,0.5658632516860962,0.0016285370802506804,0.06689345091581345
heads,44,,,,,,0.7215991814931234,0.02911175647750497,0.10005264071857228,0.5650882124900818,0.0020642075687646866,0.06993336230516434
heads,45,,,,,,0.6586644053459167,0.028828589218285156,0.09986699449227136,0.5624220371246338,0.0018732730532065034,0.06497379392385483
heads,46,,,,,,0.6917818188667297,0.02871319032548105,0.09938185322372352,0.5621185898780823,0.0017339915502816439,0.0701599046587944
heads,47,,,,,,0.6738937695821127,0.02810813719406724,0.09921534556676359,0.5638214349746704,0.0020436050835996866,0.07566951960325241
heads,48,,,,,,0.63669486840566,0.02833306504523053,0.09903353200677563,0.5661712884902954,0.0019463589414954185,0.07452554255723953
heads,49,,,,,,0.641732374827067,0.02828176078550956,0.09880100530298318,0.5682770013809204,0.001588553423061967,0.07282312214374542
heads,50,,,,,,0.6390981674194336,0.028020283590783093,0.09854275426443886,0.5703964233398438,0.0020848687272518873,0.07681337743997574
heads,51,,,,,,0.653919537862142,0.02805240238633226,0.09849912848542719,0.5739462375640869,0.0019302403088659048,0.07546740025281906
heads,52,,,,,,0.6441261370976766,0.027771198519450778,0.09786861028303118,0.5758066177368164,0.0014293937711045146,0.07566019892692566
heads,53,,,,,,0.6671380599339803,0.028069444219855702,0.09806627648718216,0.577193558216095,0.001731616328470409,0.07666359096765518
heads,54,,,,,,0.6292711893717448,0.02764574235633892,0.0978730867671616,0.5780186653137207,0.0015984353376552463,0.08259431272745132
heads,55,,,,,,0.6007676323254904,0.02739620641531313,0.09747875196968808,0.5770716667175293,0.0016072423895820975,0.07523850351572037
heads,56,,,,,,0.6210111776987711,0.027139842263696826,0.0972414256676155,0.5758611559867859,0.0017337428871542215,0.07919581979513168
heads,57,,,,,,0.6367475191752116,0.026871900430277866,0.09693349908818216,0.5746409893035889,0.0015516993589699268,0.07318409532308578
heads,58,,,,,,0.5861109495162964,0.027021238525562426,0.0968802287517225,0.5732380151748657,0.001936068874783814,0.07646869122982025
heads,59,,,,,,0.6051977872848511,0.027061193825348336,0.09662656003938001,0.5730502605438232,0.0014731462579220533,0.08007227629423141
heads,60,,,,,,0.6134844422340393,0.026607548023628837,0.09623766811016728,0.5766707062721252,0.0017214335966855288,0.07638691365718842
heads,61,,,,,,0.559580663839976,0.026339679846868795,0.09634637525852989,0.5803308486938477,0.00166981085203588,0.07779950648546219
heads,62,,,,,,0.5817472139994303,0.026491503587321323,0.09606939302209545,0.5829272866249084,0.0016546156257390976,0.08505863696336746
heads,63,,,,,,0.5566761295000712,0.026228548493236303,0.09600506470922161,0.5863913893699646,0.001488326583057642,0.08286706358194351
heads,64,,,,,,0.579616109530131,0.02603365768514135,0.09603637413066976,0.5899521112442017,0.0013387822546064854,0.07895553857088089
heads,65,,,,,,0.550096333026886,0.02626084878712016,0.09566225253922098,0.5916025638580322,0.0018993089906871319,0.08724512159824371
heads,66,,,,,,0.5587300658226013,0.026178589090704918,0.09544504368129898,0.5921422243118286,0.0014214589027687907,0.08290702849626541
