epoch,train_mean_pnl,train_std_pnl,train_objective,train_cap_penalty,avg_ratio,avg_abs_shares,cap_hit_rate,val_mean_pnl,val_std_pnl,val_objective,val_cap_penalty
1,42.866416931152344,290.15032958984375,-102.20874786376953,0.0044625732116401196,0.612540602684021,10.389164924621582,0.0,56.511287689208984,408.15264892578125,-147.56503295898438,0.003944247495383024
10,45.117881774902344,283.33544921875,-96.54984283447266,0.00533969234675169,0.7856859564781189,11.178720474243164,0.0,56.88786315917969,410.2895202636719,-148.25689697265625,0.004694296047091484
20,48.207420349121094,283.5058288574219,-93.54549407958984,0.005037717986851931,0.7479624152183533,10.815313339233398,0.0,56.8172721862793,410.5597839355469,-148.46261596679688,0.004629441536962986
30,52.098182678222656,284.470703125,-90.13716888427734,0.004578507971018553,0.6991099119186401,10.11795425415039,0.0,56.8505973815918,411.416748046875,-148.85777282714844,0.004020273685455322
40,55.12445068359375,286.2135314941406,-87.98231506347656,0.0043500931933522224,0.6623392105102539,9.263019561767578,0.0,57.69053268432617,413.2707824707031,-148.94485473632812,0.0033672857098281384
50,57.24732971191406,286.9079895019531,-86.2066650390625,0.004374760203063488,0.6480183005332947,8.849316596984863,0.0,58.649070739746094,415.7054748535156,-149.20367431640625,0.0027839867398142815
60,58.840213775634766,288.0881042480469,-85.20384216308594,0.004458357114344835,0.6180700659751892,8.357614517211914,0.0,59.473236083984375,417.2414245605469,-149.14747619628906,0.0024788870941847563
70,59.376861572265625,288.403076171875,-84.82467651367188,0.004500075243413448,0.6045621037483215,8.033019065856934,0.0,58.30119705200195,418.848876953125,-151.1232452392578,0.0023974375799298286
80,60.087406158447266,288.72039794921875,-84.27279663085938,0.004385092295706272,0.5956409573554993,7.719818592071533,0.0,55.4127082824707,423.20819091796875,-156.19139099121094,0.0018757323268800974
90,60.32394790649414,288.9141540527344,-84.13313293457031,0.004301259759813547,0.5820837020874023,7.4744462966918945,0.0,53.942012786865234,426.1661682128906,-159.1410675048828,0.0018237193580716848
