epoch,train_mean_pnl,train_std_pnl,train_objective,train_ratio_penalty,avg_ratio,avg_abs_shares,val_mean_pnl,val_std_pnl,val_objective,val_ratio_penalty
1,-32.49948501586914,172.00645446777344,-118.68255615234375,0.1569228172302246,0.6010565757751465,7.4550557136535645,-49.05808639526367,115.84598541259766,-107.05886840820312,0.16646939516067505
10,-26.93138885498047,149.6697540283203,-102.02777099609375,0.0403861403465271,0.8291770815849304,11.201248168945312,-42.00254440307617,101.82974243164062,-93.05448913574219,0.05618460848927498
20,-20.285892486572266,149.9921112060547,-95.5357437133789,0.1122831180691719,0.8568087816238403,11.224555969238281,-39.2143669128418,103.27833557128906,-91.01004028320312,0.04233705624938011
30,-11.906842231750488,155.55616760253906,-89.9062271118164,0.20121268928050995,0.865627646446228,10.66370964050293,-34.733028411865234,100.073486328125,-84.96443939208984,0.029436592012643814
40,-7.646911144256592,159.0982208251953,-87.40087127685547,0.2672509551048279,0.8649953603744507,10.555253028869629,-33.63707733154297,95.88667297363281,-81.8060302734375,0.03741772472858429
50,-5.449060440063477,159.5701904296875,-85.42662811279297,0.321029931306839,0.8453564643859863,10.303009033203125,-33.860496520996094,94.54741668701172,-81.37178039550781,0.046183209866285324
60,-5.514099597930908,158.82191467285156,-85.11739349365234,0.3567299544811249,0.8463965058326721,10.431893348693848,-32.740081787109375,94.34245300292969,-80.15776062011719,0.05349770933389664
70,-4.906620502471924,159.20314025878906,-84.6968765258789,0.36531028151512146,0.8565492630004883,10.372434616088867,-31.85919952392578,94.58094024658203,-79.40066528320312,0.0581652894616127
80,-4.814286708831787,159.20806884765625,-84.6051025390625,0.3962162137031555,0.8385834693908691,10.324145317077637,-31.80063819885254,94.5383529663086,-79.3219985961914,0.05995394289493561
90,-4.663333415985107,159.37771606445312,-84.53711700439453,0.4248400330543518,0.8189995884895325,10.268976211547852,-31.734163284301758,94.52953338623047,-79.25176239013672,0.06082820147275925
100,-4.675572872161865,159.2828369140625,-84.50301361083984,0.4202054738998413,0.8292710781097412,10.31437873840332,-31.632753372192383,94.5670166015625,-79.16957092285156,0.06113169342279434
110,-4.5817437171936035,159.42681884765625,-84.48088836669922,0.4298376739025116,0.8251318335533142,10.307175636291504,-31.605960845947266,94.56549072265625,-79.14218139648438,0.06123988330364227
120,-5.186695098876953,158.30755615234375,-84.52742767333984,0.42261162400245667,0.8346964716911316,10.352200508117676,-31.569387435913086,94.57466125488281,-79.11036682128906,0.06129487231373787
130,-5.330531120300293,158.0733642578125,-84.55412292480469,0.42640623450279236,0.8331556916236877,10.351250648498535,-31.562685012817383,94.57290649414062,-79.10282897949219,0.061301156878471375
140,-3.9773924350738525,160.9287567138672,-84.62642669677734,0.4367997646331787,0.8239080905914307,10.270247459411621,-31.590593338012695,94.57878875732422,-79.13352966308594,0.06143265590071678
150,-5.138214588165283,158.39454650878906,-84.5216064453125,0.432345986366272,0.8291488885879517,10.32276439666748,-31.57575798034668,94.57819366455078,-79.11848449707031,0.06144671142101288
160,-5.4549174308776855,157.92999267578125,-84.60651397705078,0.4322104752063751,0.830144464969635,10.340385437011719,-31.568708419799805,94.57244110107422,-79.10861206054688,0.06139853969216347
170,-3.999048948287964,160.87083435058594,-84.6192855834961,0.4389786124229431,0.8236755728721619,10.276912689208984,-31.58586311340332,94.57420349121094,-79.12655639648438,0.06145263835787773
180,-5.4480133056640625,157.9524383544922,-84.61085510253906,0.4334638714790344,0.8301413059234619,10.341944694519043,-31.560091018676758,94.56877136230469,-79.09822082519531,0.061399128288030624
190,-3.8946919441223145,161.08163452148438,-84.62005615234375,0.4415096044540405,0.822432816028595,10.267889976501465,-31.580005645751953,94.57463073730469,-79.12095642089844,0.0614846795797348
200,-5.505760669708252,157.8636932373047,-84.62422180175781,0.434561163187027,0.8302071690559387,10.342552185058594,-31.5517635345459,94.56719207763672,-79.08914947509766,0.06139832362532616
210,-5.131485462188721,158.73971557617188,-84.68717956542969,0.43801432847976685,0.8281750679016113,10.314879417419434,-31.553815841674805,94.57267761230469,-79.09392547607422,0.061432596296072006
220,-5.904926776885986,157.12831115722656,-84.65658569335938,0.43005651235580444,0.833301305770874,10.374489784240723,-31.540956497192383,94.5592041015625,-79.07441711425781,0.061314817517995834
230,-4.4459686279296875,159.67604064941406,-84.46903228759766,0.43895962834358215,0.8254357576370239,10.28705883026123,-31.554471969604492,94.5707015991211,-79.09358215332031,0.061386529356241226
240,-4.693536281585693,159.13780212402344,-84.44760131835938,0.4405657947063446,0.8238542675971985,10.293115615844727,-31.533723831176758,94.56510925292969,-79.07015991210938,0.06134721264243126
250,-4.171472072601318,159.45672607421875,-84.0768051147461,0.46042782068252563,0.807003915309906,10.010951042175293,-31.47525978088379,94.54988098144531,-79.00435638427734,0.06126374378800392
260,-4.759535312652588,158.10108947753906,-83.98974609375,0.44590091705322266,0.8231047987937927,10.113079071044922,-31.4067440032959,94.481689453125,-78.90226745605469,0.06135893613100052
270,-3.375077486038208,160.84091186523438,-83.97040557861328,0.4543670117855072,0.817380428314209,9.946234703063965,-31.401399612426758,94.48078155517578,-78.8965072631836,0.06137503311038017
